OBJECTID,STUD_AR_ID,STUD_AR_NM,POP_10,POP_14,Acres,AC_PER_1K,RepPrkAc,NEED_DESCP,PCT_Walk,MapLoc,DISTRICT
85,062,City of Lomita,20256,20666,1227.4983433660782,0.515436,10.652,Moderate,51.6113688579,South County,4
86,046,City of Palos Verdes Estates,13438,13704,3054.1872320520733,32.229568,441.67400000000004,Very Low,45.1583620687,South County,4
87,170,City of Rancho Palos Verdes,41643,42372,8661.122894928698,20,849.5,Very Low,52.0253648311,South County,4
88,036,Unincorporated Littlerock,12943,7769,36278.79200538654,1.93886,15.062999999999999,Very Low,2.1175483138,North County,5
89,014,Unincorporated La Crescenta - Montrose,19653,19821,2207.8761155682605,2.3,45.732,Very Low,17.842259289,South County,5
90,047,Unincorporated Altadena,42777,42645,5650.145734192142,0.893305,38.095,Low,32.132527189,South County,5
91,016,Unincorporated Malibu ,6039,5469,31700.953803133303,6.806363,37.224,Low,19.0780141349,South County,3
92,005,Unincorporated Covina Islands,5467,5413,361.91073533367387,0,0,Moderate,3.71615793717,South County,1
93,020,Unincorporated San Jose Hills,20620,20835,969.9796809699546,0.338277,7.048,Moderate,48.5688808365,South County,1
94,065,Unincorporated West Whittier - Los Nietos,26431,26590,1756.7815351200877,3.3,88.2,Low,36.9313197144,South County,4
95,080,Unincorporated Florence-Firestone,63387,64585,2277.5359996949824,1.220454,78.82300000000001,Very High,59.2878935122,South County,2
96,021,Unincorporated Walnut Park,15966,16023,476.70237655632275,0.078325,1.255,Very High,40.1273661666,South County,1
97,015,Unincorporated Lennox,22792,23228,705.0429807941717,0.242638,5.636,Very High,47.1938631359,South County,2
98,113,Unincorporated Willowbrook,39537,40460,2567.151200400756,3.601261,145.70700000000002,High,66.0884159376,South County,2
99,013,Unincorporated Del Aire,10001,10104,652.1840681104536,0.653998,6.608,High,59.1405285378,South County,2
100,024,Unincorporated West Rancho Dominguez,5669,5806,1052.1707376575855,1.533241,8.902,Very Low,54.2521877348,South County,2
101,012,Unincorporated Compton,2597,2635,1728.5387971324947,3.204554,8.444,Low,3.4621197517,South County,2
102,022,Unincorporated West Athens-Westmont,40582,41288,2036.806658760027,0.169177,6.985,Very High,25.9148596876,South County,2
103,183,City of LA Northeast Los Angeles - North,145373,149099,9611.011638625245,3.6360280000000005,542.128,Moderate,49.6364493529,South County,"1, 3"
104,103,City of LA Hollywood - North,95507,97252,12826.100328999404,44.448268,4322.683,Moderate,47.3306029411,South County,3
105,107,City of LA West Adams,95509,97579,3758.7002081759215,0.377223,36.809,Very High,45.5917002564,South County,2
106,163,City of LA Southeast Los Angeles,147578,154141,5568.01105820717,1.096769,169.05700000000002,Very High,56.9223523638,South County,2
107,044,City of LA Van Nuys - North Sherman Oaks,79086,81887,3990.86390752058,0.182068,14.908999999999999,Very High,16.9354309623,South County,3
108,164,City of LA Exposition Park - University Park - Vermont Square,166632,172227,5408.99710290214,0.176912,30.468999999999998,Very High,64.8159885099,South County,2
109,108,City of LA Wilshire - West,116486,123005,5978.867589200208,0.57683,70.953,High,46.4832872324,South County,"2, 3"
110,068,City of LA Wilshire - Koreatown,161900,168097,2983.3175824702753,0.108265,18.199,Very High,38.5733471448,South County,"2, 3"
